Testing 1000 samples...
====================================================================================================
✅ A2019-EM-01-0157: Labels match (814 epochs, FPS=4.995)

✅ A2019-EM-01-0158: Labels match (801 epochs, FPS=4.995)

✅ A2019-EM-01-0159: Labels match (786 epochs, FPS=4.995)

✅ A2019-EM-01-0161: Labels match (806 epochs, FPS=4.986111111111111)

✅ A2019-EM-01-0162: Labels match (839 epochs, FPS=4.995)

✅ A2019-EM-01-0163: Labels match (802 epochs, FPS=4.995)

✅ A2019-EM-01-0164: Labels match (750 epochs, FPS=4.972222222222222)

✅ A2019-EM-01-0165: Labels match (794 epochs, FPS=4.995)

✅ A2019-EM-01-0167: Labels match (736 epochs, FPS=4.930555555555555)

✅ A2019-EM-01-0168: Labels match (832 epochs, FPS=4.995)

✅ A2019-EM-01-0169: Labels match (1029 epochs, FPS=4.986111111111111)

✅ A2019-EM-01-0170: Labels match (755 epochs, FPS=4.986111111111111)

✅ A2019-EM-01-0171: Labels match (754 epochs, FPS=4.986111111111111)

✅ A2019-EM-01-0172: Labels match (810 epochs, FPS=4.995)

✅ A2019-EM-01-0173: Labels match (745 epochs, FPS=4.995)

✅ A2019-EM-01-0174: Labels match (741 epochs, FPS=4.995)

✅ A2019-EM-01-0175: Labels match (823 epochs, FPS=4.944444444444445)

✅ A2019-EM-01-0176: Labels match (803 epochs, FPS=4.930555555555555)

✅ A2019-EM-01-0177: Labels match (941 epochs, FPS=4.944444444444445)

✅ A2019-EM-01-0180: Labels match (748 epochs, FPS=4.995)

✅ A2019-EM-01-0182: Labels match (879 epochs, FPS=4.995)

✅ A2019-EM-01-0183: Labels match (761 epochs, FPS=4.986111111111111)

✅ A2019-EM-01-0185: Labels match (770 epochs, FPS=4.995)

✅ A2019-EM-01-0186: Labels match (872 epochs, FPS=4.995)

✅ A2019-EM-01-0187: Labels match (840 epochs, FPS=4.930555555555555)

✅ A2019-EM-01-0188: Labels match (797 epochs, FPS=4.995)

✅ A2019-EM-01-0189: Labels match (838 epochs, FPS=4.995)

✅ A2019-EM-01-0190: Labels match (758 epochs, FPS=5.0)

✅ A2019-EM-01-0191: Labels match (812 epochs, FPS=4.995)

✅ A2019-EM-01-0192: Labels match (866 epochs, FPS=5.0)

✅ A2019-EM-01-0193: Labels match (924 epochs, FPS=4.986111111111111)

✅ A2019-EM-01-0194: Labels match (842 epochs, FPS=4.995)

✅ A2019-EM-01-0195: Labels match (793 epochs, FPS=4.995)

✅ A2019-EM-01-0196: Labels match (921 epochs, FPS=4.958333333333333)

✅ A2019-EM-01-0197: Labels match (813 epochs, FPS=4.986111111111111)

✅ A2019-EM-01-0198: Labels match (922 epochs, FPS=4.995)

✅ A2019-EM-01-0199: Labels match (674 epochs, FPS=4.930555555555555)

✅ A2019-EM-01-0200: Labels match (743 epochs, FPS=4.995)

✅ A2019-EM-01-0201: Labels match (875 epochs, FPS=4.995)

✅ A2019-EM-01-0202: Labels match (984 epochs, FPS=4.944444444444445)

✅ A2019-EM-01-0203: Labels match (1025 epochs, FPS=4.995)

✅ A2019-EM-01-0204: Labels match (717 epochs, FPS=4.995)

✅ A2019-EM-01-0205: Labels match (869 epochs, FPS=4.930555555555555)

✅ A2019-EM-01-0206: Labels match (809 epochs, FPS=4.986111111111111)

✅ A2019-EM-01-0207: Labels match (798 epochs, FPS=4.972222222222222)

✅ A2019-EM-01-0208: Labels match (1132 epochs, FPS=4.995)

✅ A2019-EM-01-0210: Labels match (986 epochs, FPS=4.995)

✅ A2019-EM-01-0211: Labels match (878 epochs, FPS=4.995)

✅ A2019-EM-01-0212: Labels match (751 epochs, FPS=4.995)

✅ A2019-EM-01-0213: Labels match (848 epochs, FPS=4.972222222222222)

✅ A2019-EM-01-0216: Labels match (700 epochs, FPS=4.995)

✅ A2019-EM-01-0217: Labels match (822 epochs, FPS=4.995)

✅ A2019-EM-01-0218: Labels match (828 epochs, FPS=4.995)

✅ A2019-EM-01-0219: Labels match (790 epochs, FPS=4.995)

✅ A2019-EM-01-0220: Labels match (850 epochs, FPS=4.972222222222222)

✅ A2019-EM-01-0221: Labels match (920 epochs, FPS=4.972222222222222)

✅ A2019-EM-01-0222: Labels match (854 epochs, FPS=4.995)

✅ A2019-EM-01-0223: Labels match (789 epochs, FPS=4.972222222222222)

✅ A2019-EM-01-0224: Labels match (737 epochs, FPS=4.995)

✅ A2019-EM-01-0225: Labels match (901 epochs, FPS=4.995)

✅ A2019-EM-01-0239: Labels match (855 epochs, FPS=4.995)

✅ A2019-EM-01-0240: Labels match (692 epochs, FPS=5.0)

✅ A2019-EM-01-0242: Labels match (945 epochs, FPS=4.986111111111111)

✅ A2019-EM-01-0243: Labels match (787 epochs, FPS=4.944444444444445)

✅ A2019-EM-01-0244: Labels match (794 epochs, FPS=5.0)

✅ A2019-EM-01-0246: Labels match (763 epochs, FPS=4.995)

✅ A2019-EM-01-0247: Labels match (824 epochs, FPS=4.944444444444445)

✅ A2019-EM-01-0248: Labels match (562 epochs, FPS=4.944444444444445)

✅ A2019-EM-01-0250: Labels match (881 epochs, FPS=4.995)

✅ A2019-EM-01-0251: Labels match (948 epochs, FPS=4.995)

✅ A2019-EM-01-0252: Labels match (899 epochs, FPS=5.0)

✅ A2020-EM-01-0001: Labels match (861 epochs, FPS=5.0)

